시도명,시군구명,대형폐기물명,대형폐기물구분명,대형폐기물규격,유무료여부,수수료,관리기관명,데이터기준일자
경상남도,김해시,자전거,기타,아동용,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,보일러,기타,기름(가스) 보일러,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,보일러,기타,연탄 보일러,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,기름탱크,기타,400리터이상,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,기름탱크,기타,400리터미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,가정용물탱크류(정화조),기타,용량 1톤당(1㎥),유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,보행기,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,유모차,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,세면대(양변기),기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕조,기타,모든 규격,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,건조대,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,형광등 기구,기타,길이 1m이상,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,형광등 기구,기타,길이 1m미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,40리터이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,7리터이상,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,7리터미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,스티로폼,기타,100ℓ당,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,PVC배관류,기타,관경 200㎜이상×1m당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,PVC배관류,기타,관경 200㎜미만×1m당,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,목재류,기타,100ℓ당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,잡쓰레기,기타,100ℓ당,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,대자리,기타,길이가 긴쪽 1m당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기매트(옥+황토+온수),생활용품류,모든 규격(일반전기장판(요) 제외),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기매트(옥+황토+온수),생활용품류,일반전기장판(요),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,화환,기타,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전동안마의자,가전제품류,모든 규격,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,블라인더,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕실 장식장,기타,모든 규격(유리 포함),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕실 장식장,기타,모든 규격(유리 미포함),유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,실내조명등 기구,기타,장식용,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,실내조명등 기구,기타,일반,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,아이스박스,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,파티션,기타,가로 1m이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,파티션,기타,가로 1m미만,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,비데기,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,유아용 카시트,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,캣타워,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,풍선간판,기타,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,소화기,기타,3.5㎏이하(약제 기준),유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,소화기,기타,3.5㎏초과(약제 기준),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,렌지대,기타,높이 120cm미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,렌지대,기타,높이 120cm이상(식탁부착형 포함),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,온수기,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,의료기,기타,일반,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,의료기,기타,받침대 포함,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 50cm미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 50cm이상 100cm미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 100cm이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,건축용판넬,기타,길이가 긴쪽 1m당,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,유리판,기타,2.5㎡당,유료,3000,경상남도 김해시청,2025-07-28
